                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
205,"Lima, OH MSA","100,838",102206,101670,0,,0.00,0,,12.9,1,322,0,102206,102059,101670,-147,-389,298,1166,314,1361,-16,-195,0,8,-129,-220,-129,-212,1,-2,18,"102,211","51,128",51083,42411,42551,6431,6280,190,133,392,470,15,16,1689,1633,44038,44115,7747,7564,474,416,585,637,45,55,49342,49549,41015,41396,6271,6130,127,78,368,456,12,10,1549,1479,42508,42818,7485,7289,372,319,545,611,41,45,1786,1534,1396,1155,160,150,63,55,24,14,3,6,140,154,1530,1297,262,275,102,97,40,26,4,10
206,"Lincoln, NE MSA","344,387","340,217",342117,0,,0.08,0,"27,258",11.6,1,1170,1,340217,340515,342117,298,1602,990,3726,749,2757,241,969,4,182,49,374,53,556,0,4,77,"340,221","171,669",168552,149185,147551,8094,6089,1697,1723,7472,7775,167,170,5054,5244,153972,152496,10894,9038,3001,3113,8856,9194,354,366,157946,155998,137576,137172,7573,5591,938,940,7331,7664,115,121,4413,4510,141765,141430,10070,8209,1924,1953,8605,8940,270,272,13723,12554,11609,10379,521,498,759,783,141,111,52,49,641,734,12207,11066,824,829,1077,1160,251,254,84,94
207,"Little Rock-North Little Rock-Conway, AR","764,045","748,031",750936,1,,0.04,0,"30,843",14.1,1,5819,1,748031,748434,750936,403,2502,2179,8865,2168,8595,11,270,10,207,379,1954,389,2161,0,3,71,"748,038","363,046",384992,262696,269212,83968,97739,2200,2224,5964,7242,255,211,7963,8364,269788,276638,88062,102080,5007,5272,7947,9307,685,602,335221,360241,238109,247380,82640,96531,1398,1529,5824,7092,96,113,7154,7596,244481,254108,86402,100551,3812,4184,7619,8997,455,447,27825,24751,24587,21832,1328,1208,802,695,140,150,159,98,809,768,25307,22530,1660,1529,1195,1088,328,310,230,155
208,"Logan, UT-ID MSA","157,887","147,348",152083,0,,0.06,0,"8,433",14.1,1,183,0,147348,147796,152083,448,4287,566,2212,197,754,369,1458,2,68,63,2778,65,2846,0,14,-17,"147,352","74,045",73307,68902,68534,923,643,807,781,1533,1575,418,330,1462,1444,70279,69905,1248,950,1373,1317,2090,2141,633,551,65900,65393,61950,61651,754,466,358,398,1446,1474,305,250,1087,1154,62966,62747,1004,712,683,749,1923,1981,495,446,8145,7914,6952,6883,169,177,449,383,87,101,113,80,375,290,7313,7158,244,238,690,568,167,160,138,105
209,"Longviewâ€“Kelso, WA MSA","112,864",110730,111524,0,,0.00,0,,13.3,1,213,0,110730,110924,111524,194,600,332,1186,380,1388,-48,-202,2,22,244,770,246,792,0,-4,10,"286,179","142,599",143580,110489,110187,25933,27183,1648,1526,1377,1555,178,120,2974,3009,113254,112972,27585,28880,2670,2523,1858,2060,314,261,117583,121200,88037,90147,25121,26387,687,676,1230,1413,67,52,2441,2525,90297,92483,26545,27861,1456,1462,1639,1850,174,168,25016,22380,22452,20040,812,796,961,850,147,142,111,68,533,484,22957,20489,1040,1019,1214,1061,219,210,140,93
210,"Longview, TX MSA","293,498","286,184",287868,0,,0.00,0,,15.9,1,924,0,286184,286153,287868,-31,1715,801,3418,879,3531,-78,-113,-1,33,48,1777,47,1810,0,0,18,"110,728","55,281",55447,50185,50331,763,536,1220,1201,758,1046,242,240,2113,2093,52170,52308,1275,1014,2334,2341,1324,1570,401,413,49748,50194,45596,45963,619,407,792,796,701,984,205,204,1835,1840,47329,47708,1071,831,1715,1773,1223,1465,345,351,5533,5253,4589,4368,144,129,428,405,57,62,37,36,278,253,4841,4600,204,183,619,568,101,105,56,62
211,"Los Angeles-Long Beach-Anaheim, CA","12,799,100","13,200,998",12997353,1,,0.32,1,"4,249,090",13.2,1,63201,1,13200998,13173266,12997353,-27732,-175913,31900,132063,26762,107458,5138,24605,-529,5237,-32750,-204776,-33279,-199539,1,409,-979,"13,200,973","6,549,099",6651874,4655258,4603548,472003,506931,91791,87458,1083683,1205328,24538,24409,221826,224200,4851082,4800631,535860,573054,145611,143660,1212355,1333451,46344,46975,3597570,3712259,1953956,1911381,413832,446731,12479,12839,1044307,1166096,15571,15546,157425,159666,2092469,2051213,458836,493628,39839,42585,1144898,1266093,31227,31894,2951529,2939615,2701302,2692167,58171,60200,79312,74619,39376,39232,8967,8863,64401,64534,2758613,2749418,77024,79426,105772,101075,67457,67358,15117,15081
212,"Louisville/Jefferson County, KY-IN MSA","1,365,557","1,362,180",1284566,1,,0.06,0,"83,100",12.1,1,5545,1,1285439,1285058,1284566,-381,-492,3486,14387,3982,15256,-496,-869,27,618,99,-358,126,260,0,-11,117,"1,362,145","670,243",691902,539745,551040,96795,106325,2147,1828,14760,15486,556,464,16240,16759,554888,566633,107153,117072,6008,5964,18405,19233,1203,1113,625549,651495,500721,515646,93773,103549,1269,1200,14490,15232,384,337,14912,15531,514663,530122,103375,113612,4561,4818,17863,18702,932,894,44694,40407,39024,35394,3022,2776,878,628,270,254,172,127,1328,1228,40225,36511,3778,3460,1447,1146,542,531,271,219
213,"Lubbock, TX MSA","360,104","351,268",325245,0,,0.06,0,19875,18.5,1,2688,1,321368,322123,325245,755,3122,1010,4090,823,3292,187,798,-1,182,551,2091,550,2273,0,18,51,"351,261","175,060",176201,151572,153307,13660,13581,2260,2084,4038,3811,222,251,3308,3167,154583,156167,15160,14995,3352,3183,4968,4722,455,477,109471,111945,90325,93364,12218,12078,760,712,3773,3510,117,137,2278,2144,92372,95270,13301,13073,1376,1341,4512,4204,286,309,65589,64256,61247,59943,1442,1503,1500,1372,265,301,105,114,1030,1023,62211,60897,1859,1922,1976,1842,456,518,169,168
214,"Lynchburg, VA MSA","264,590","261,593",262258,0,,0.03,0,"8,111",11.9,1,607,0,261593,261408,262258,-185,850,632,2674,825,3300,-193,-626,4,173,18,1287,22,1460,0,-14,16,"261,597","126,630",134967,99730,105549,21536,23570,589,645,1900,2211,79,71,2796,2921,102295,108181,23370,25584,1247,1352,2502,2785,174,174,122174,130555,96070,101890,21156,23229,471,513,1835,2166,40,56,2602,2701,98462,104328,22867,25100,1047,1135,2406,2702,127,152,4456,4412,3660,3659,380,341,118,132,65,45,39,15,194,220,3833,3853,503,484,200,217,96,83,47,22
215,"Macon-Bibb County, GA MSA","236,074","233,802",233883,0,,0.03,0,"5,893",21.4,1,1042,1,233802,233592,233883,-210,291,617,2596,809,3112,-192,-516,0,64,-12,722,-12,786,0,-6,21,233808,112232,121576,57681,59073,50219,58055,418,414,1954,2101,154,93,1806,1840,59208,60622,51366,59252,911,913,2380,2514,252,196,107673,117671,54321,56225,49539,57412,265,293,1829,2003,74,35,1645,1703,55703,57653,50590,58524,708,740,2223,2397,163,131,4559,3905,3360,2848,680,643,153,121,125,98,80,58,161,137,3505,2969,776,728,203,173,157,117,89,65
216,"Madison, WI MSA","694,345","680,796",683183,1,,0.07,0,"49,783",10.4,1,1452,1,680796,681484,683183,688,1699,1802,6628,1402,5460,400,1168,34,684,245,-299,279,385,0,9,146,"680,805","341,826",338979,295110,293609,17234,16087,1815,1737,18391,18386,220,193,9056,8967,303659,302109,22285,21092,3785,3742,21286,21218,553,486,317444,317310,273919,275113,16341,15072,1017,954,18178,18191,133,128,7856,7852,281340,282554,20709,19443,2501,2563,20852,20787,419,371,24382,21669,21191,18496,893,1015,798,783,213,195,87,65,1200,1115,22319,19555,1576,1649,1284,1179,434,431,134,115
217,"Manchester-Nashua, NH","427,354","422,937",424079,0,,0.10,1,"42,393",7.43,0,957,0,422937,422705,424079,-232,1374,978,3990,1079,4325,-101,-335,47,666,-172,959,-125,1625,0,-6,84,"422,938","212,066",210872,189088,189652,7817,6413,781,595,9663,9651,162,140,4555,4421,193436,193902,9944,8469,2046,1781,11141,11123,335,294,194770,194722,174757,175974,6059,5023,401,344,9540,9521,65,42,3948,3818,178563,179661,7767,6691,1491,1361,10905,10881,212,171,17296,16150,14331,13678,1758,1390,380,251,123,130,97,98,607,603,14873,14241,2177,1778,555,420,236,242,123,123
218,"Manhattan, KS MSA","132,831","134,046",133932,0,,0.06,0,"8,154",17.8,1,563,0,134046,134135,133932,89,-203,501,1941,240,886,261,1055,-1,63,-178,-1306,-179,-1243,1,7,-15,"134,042","70,489",63553,57254,52058,6859,5273,675,600,2399,2572,404,348,2898,2702,59905,54533,8400,6663,1382,1315,3392,3483,565,490,62747,56739,50915,46440,6316,4828,431,398,2280,2451,346,309,2459,2313,53188,48572,7629,6021,960,953,3148,3273,475,425,7742,6814,6339,5618,543,445,244,202,119,121,58,39,439,389,6717,5961,771,642,422,362,244,210,90,65
219,"Mankato, MN MSA","104,248",103566,103612,0,,0.05,0,"5,342",13.8,1,182,0,103566,103663,103612,97,-51,285,1016,224,808,61,208,0,79,34,-353,34,-274,1,2,15,103563,52266,51297,47197,46649,2464,2203,311,209,1207,1091,27,28,1060,1117,48198,47716,2983,2741,560,473,1561,1468,71,66,49508,49085,44809,44704,2386,2152,187,132,1175,1051,21,23,930,1023,45686,45684,2846,2652,379,351,1505,1408,57,60,2758,2212,2388,1945,78,51,124,77,32,40,6,5,130,94,2512,2032,137,89,181,122,56,60,14,6
220,"Mansfield, OH MSA","125,064","124,936",125195,0,,0.02,0,"2,068",13.7,1,276,0,124936,124840,125195,-96,355,314,1358,424,1720,-110,-362,-1,13,23,692,22,705,0,-8,12,"124,927","63,919",61008,54107,54438,7610,4402,161,128,490,560,40,24,1511,1456,55563,55815,8629,5381,520,494,696,762,89,74,62470,59845,52981,53462,7422,4316,126,106,477,555,33,20,1431,1386,54364,54778,8395,5254,453,444,668,748,77,65,1449,1163,1126,976,188,86,35,22,13,5,7,4,80,70,1199,1037,234,127,67,50,28,14,12,9
221,"McAllen-Edinburg-Mission, TX","898,471","870,781",880356,1,,0.26,1,"228,323",28.4,1,2345,1,870781,872204,880356,1423,8152,3214,13191,1450,5852,1764,7339,-80,15,-325,554,-405,569,0,64,244,"870,787","429,580",441207,415009,427956,4762,3499,2439,2468,5022,5074,210,218,2138,1992,416970,429799,5499,4191,3381,3334,5683,5691,380,365,36611,34082,28230,26951,2836,1550,232,308,4420,4491,54,59,839,723,28991,27616,3139,1822,516,540,4743,4766,111,96,392969,407125,386779,401005,1926,1949,2207,2160,602,583,156,159,1299,1269,387979,402183,2360,2369,2865,2794,940,925,269,269
222,"Medford, OR MSA","220,768","223,259",223734,0,,0.06,0,"12,692",13.7,1,,0,223259,223394,223734,135,340,530,2086,733,2903,-203,-817,1,-17,356,1162,357,1145,0,-19,12,"223,255","109,560",113695,100419,104346,1266,845,1911,1841,1534,2101,369,416,4061,4146,104297,108312,2212,1730,4002,4053,2663,3241,760,825,93718,99125,86747,91714,1058,651,1004,1018,1359,1963,274,349,3276,3430,89894,95014,1833,1393,2589,2750,2344,2974,595,701,15842,14570,13672,12632,208,194,907,823,175,138,95,67,785,716,14403,13298,379,337,1413,1303,319,267,165,124
223,"Memphis, TN-MS-AR MSA","1,335,674","1,345,425",1336103,1,274.5,0.06,0,"74,381",17.3,1,15068,1,1337779,1337311,1336103,-468,-1208,4146,16824,4058,15392,88,1432,10,269,-602,-3041,-592,-2772,1,36,132,"1,345,436","645,552",699884,319450,323802,297427,345663,2852,2462,14643,15996,633,577,10547,11384,328552,333502,303813,352675,5818,5736,17795,19376,1162,1162,595512,655016,276786,285935,293610,341695,1226,1349,14321,15693,157,192,9412,10152,284933,294638,299321,347951,3711,4142,17162,18722,583,677,50040,44868,42664,37867,3817,3968,1626,1113,322,303,476,385,1135,1232,43619,38864,4492,4724,2107,1594,633,654,579,485
224,"Merced, CA MSA","291,920","281,202",286461,0,,0.26,1,"74,161",19,1,1520,1,281202,281726,286461,524,4735,976,3737,588,2224,388,1513,0,-85,119,3305,119,3220,0,17,2,"281,205","142,578",138627,116703,113746,5763,5302,3747,3546,11204,10846,570,528,4591,4659,120735,117842,7278,6847,5438,5277,13017,12658,1079,1048,53832,53553,35920,36327,4325,3823,573,587,10162,9855,302,283,2550,2678,38154,38672,5261,4791,1205,1292,11384,11103,601,593,88746,85074,80783,77419,1438,1479,3174,2959,1042,991,268,245,2041,1981,82581,79170,2017,2056,4233,3985,1633,1555,478,455
225,"Miami-Fort Lauderdale-Pompano Beach, FL","6,183,199","6,138,333",6091747,1,,0.41,1,"2,540,791",13.9,1,26314,1,6138333,6126441,6091747,-11892,-34694,15069,62222,16372,64333,-1303,-2111,1265,22764,-11684,-55305,-10419,-32541,1,-170,-42,6138356,3003072,3135284,2200186,2262451,655640,716471,13800,11788,78515,86606,2778,2798,52153,55170,2241137,2305238,690360,753445,22834,21607,97528,107090,8165,8579,1626723,1696284,914414,913284,597130,657437,4172,4266,74601,82481,1278,1312,35128,37504,940261,940445,619673,681692,9669,10367,89278,98402,5573,5972,1376349,1439000,1285772,1349167,58510,59034,9628,7522,3914,4125,1500,1486,17025,17666,1300876,1364793,70687,71753,13165,11240,8250,8688,2592,2607
226,"Michigan City-La Porte, IN","111,706",112417,112390,0,,0.03,0,"3,511",15.5,1,,0,112417,112222,112390,-195,168,276,1137,374,1464,-98,-327,0,23,-93,456,-93,479,0,-4,16,"112,404","58,121",54283,48337,46744,7725,5402,257,281,331,393,15,17,1456,1446,49726,48124,8698,6379,587,616,559,607,72,60,53822,50610,44546,43549,7534,5241,143,143,297,373,10,11,1292,1293,45786,44787,8416,6139,414,417,500,566,55,46,4299,3673,3791,3195,191,161,114,138,34,20,5,6,164,153,3940,3337,282,240,173,199,59,41,17,14
227,"Midland, MI MSA","84,039",83494,83457,0,,0.03,0,"2,495",10.1,1,118,0,83494,83476,83457,-18,-19,206,855,207,900,-1,-45,0,30,-13,-17,-13,13,0,-4,13,"83,487","41,491",41996,38891,39495,638,477,215,224,891,1052,37,31,819,717,39675,40185,997,774,483,504,1112,1237,71,48,40091,40746,37681,38389,583,438,171,187,880,1045,36,31,740,656,38392,39019,905,716,395,426,1092,1224,69,46,1400,1250,1210,1106,55,39,44,37,11,7,1,0,79,61,1283,1166,92,58,88,78,20,13,2,2
228,"Midland, TX MSA","182,324","175,220",173180,0,,0.13,1,"23,616",9.79,0,,0,175220,175471,173180,251,-2291,745,2923,355,1416,390,1507,0,150,-157,-3913,-157,-3763,1,18,-35,"175,224","89,307",85917,77736,74942,6657,6357,1102,940,2100,2111,113,106,1599,1461,79231,76306,7461,7108,1661,1446,2415,2404,181,165,50357,49236,40700,40076,6038,5715,450,385,1980,1974,54,62,1135,1024,41775,41031,6639,6275,791,687,2229,2199,93,99,38950,36681,37036,34866,619,642,652,555,120,137,59,44,464,437,37456,35275,822,833,870,759,186,205,88,66
229,"Milwaukee-Waukesha, WI","1,560,424","1,574,731",1566487,1,,0.07,0,"117,976",13,1,9111,1,1574731,1573598,1566487,-1133,-7111,4611,17948,4418,17227,193,721,64,938,-1379,-8780,-1315,-7842,1,-11,10,"1,574,713","772,554",802159,590141,599227,124144,142537,5766,6060,33306,34066,361,376,18836,19893,607303,617275,135726,154757,10826,11703,38181,39123,966,1005,679763,712343,509345,521709,118754,137018,3080,3469,32771,33525,207,237,15606,16385,523661,536630,128203,146992,6753,7587,37178,38041,688,761,92791,89816,80796,77518,5390,5519,2686,2591,535,541,154,139,3230,3508,83642,80645,7523,7765,4073,4116,1003,1082,278,244
230,"Minneapolis-St. Paul-Bloomington, MN-WI","3,712,020","3,690,261",3690512,0,,0.11,1,"392,119",8.32,0,9926,1,3690261,3692421,3690512,2160,-1909,10820,41501,7646,30718,3174,10783,164,2833,-1236,-15462,-1072,-12629,1,58,-63,3690271,1842346,1847925,1460982,1465742,176814,172900,17251,17194,130222,134566,1324,1282,55753,56241,1512601,1517559,207712,204098,32187,33131,147632,151570,3361,3307,1716689,1731399,1356957,1369538,171091,167384,10307,10973,128648,133061,866,828,48820,49615,1402223,1415275,198025,194766,22105,23813,144848,148851,2517,2530,125657,116526,104025,96204,5723,5516,6944,6221,1574,1505,458,454,6933,6626,110378,102284,9687,9332,10082,9318,2784,2719,844,777
231,"Minot, ND MSA","75,742",77546,,,,0.04,0,"2,977",8.94,0,,0,,,,,,,,,,,,,,,,,,0,,,"77,561","40,414",37147,35600,32896,2009,1428,858,971,653,650,63,50,1231,1152,36724,33950,2548,1922,1313,1427,1020,973,140,113,37958,34855,33580,31048,1898,1325,741,811,611,626,54,43,1074,1002,34569,31971,2362,1747,1104,1189,952,921,114,93,2456,2292,2020,1848,111,103,117,160,42,24,9,7,157,150,2155,1979,186,175,209,238,68,52,26,20
232,"Missoula, MT MSA","126,939","122,457",119533,0,,0.03,0,"3,929",13.3,1,418,0,117922,118238,119533,316,1295,295,1032,290,1070,5,-38,9,105,302,1220,311,1325,0,0,8,"122,458","61,705",60753,56507,55418,413,240,1720,1716,940,1385,56,62,2069,1932,58489,57273,872,624,2866,2825,1558,1972,173,174,58681,57695,54200,52989,359,211,1408,1428,913,1315,49,58,1752,1694,55891,54623,752,541,2340,2368,1444,1846,139,155,3024,3058,2307,2429,54,29,312,288,27,70,7,4,317,238,2598,2650,120,83,526,457,114,126,34,19
233,"Mobile, AL MSA","411,640","414,809",428220,0,221.2,0.03,0,"13,307",17.8,1,,0,430197,429546,428220,-651,-1326,1277,5232,1502,5695,-225,-463,7,113,-427,-1057,-420,-944,1,-6,81,"414,809","198,608",216201,119392,124461,69703,81407,1819,1982,4113,4651,92,89,3489,3611,122411,127559,71598,83426,3135,3351,5018,5572,246,241,191788,209653,113724,119010,69056,80743,1682,1909,4078,4590,52,60,3196,3341,116513,121892,70790,82628,2856,3139,4913,5436,162,185,6820,6548,5668,5451,647,664,137,73,35,61,40,29,293,270,5898,5667,808,798,279,212,105,136,84,56
234,"Modesto, CA MSA","551,430","552,878",552999,1,,0.20,1,"111,546",13.5,1,2908,1,552878,552710,552999,-168,289,1755,7180,1346,5094,409,2086,-12,-50,-592,-1870,-604,-1920,1,27,123,"552,882","275,462",277420,228055,229536,10144,9669,6039,5755,16688,17697,2685,2565,11851,12198,238561,240311,13406,13067,10238,10149,22093,23159,4347,4274,140869,146082,107196,111839,7799,7250,1413,1366,14732,15680,2019,2004,7710,7943,113917,118751,10034,9607,3366,3466,18805,19776,3196,3204,134593,131338,120859,117697,2345,2419,4626,4389,1956,2017,666,561,4141,4255,124644,121560,3372,3460,6872,6683,3288,3383,1151,1070
235,"Monroe, LA MSA","221,885","227,147",204884,0,,0.02,0,"3,741",23.5,1,1631,1,207104,206557,204884,-547,-1673,600,2446,698,2727,-98,-281,0,47,-450,-1456,-450,-1409,1,1,17,"227,154","110,170",116984,66830,69114,40375,44970,404,405,1004,984,67,75,1490,1436,68102,70312,41299,45831,899,919,1336,1324,153,148,106147,113370,63763,66314,39902,44514,261,296,920,917,35,44,1266,1285,64852,67391,40712,45290,648,737,1201,1225,101,106,4023,3614,3067,2800,473,456,143,109,84,67,32,31,224,151,3250,2921,587,541,251,182,135,99,52,42
236,"Monroe, MI MSA","155,045","154,809",155274,0,,0.02,0,"3,512",11.2,1,,0,154809,154796,155274,-13,478,364,1453,456,1834,-92,-381,0,15,88,831,88,846,0,-9,13,"154,802","77,161",77641,72616,73285,2180,2040,295,295,502,581,27,26,1541,1414,74090,74640,2970,2771,838,823,770,809,72,59,73978,74602,69814,70585,2045,1926,200,216,486,568,18,20,1415,1287,71177,71819,2783,2604,670,675,736,784,61,49,3183,3039,2802,2700,135,114,95,79,16,13,9,6,126,127,2913,2821,187,167,168,148,34,25,11,10
237,"Montgomery, AL MSA","385,480","386,047",385798,0,201.4,0.04,0,"14,486",16.6,1,,0,386047,385738,385798,-309,60,1130,4727,1079,4404,51,323,-1,139,-365,-424,-366,-285,1,6,22,"386,062","184,519",201543,95067,98931,81095,93696,757,767,4452,4693,220,184,2928,3272,97602,101666,82766,95639,1659,1820,5321,5672,368,359,176437,193913,88743,93048,80187,92734,508,535,4358,4614,104,103,2537,2879,90946,95463,81633,94440,1242,1425,5117,5464,211,231,8082,7630,6324,5883,908,962,249,232,94,79,116,81,391,393,6656,6203,1133,1199,417,395,204,208,157,128
238,"Morgantown, WV MSA","141,817","140,038",140745,0,,0.04,0,"5,687",19.1,1,288,0,140038,140092,140745,54,653,389,1347,320,1302,69,45,12,213,-26,366,-14,579,0,-1,29,"140,034","72,776",67258,66123,62194,2886,1735,151,165,2047,1738,49,38,1520,1388,67585,63536,3707,2475,516,517,2475,2135,107,81,70644,65441,64276,60598,2775,1642,114,131,2011,1725,30,30,1438,1315,65666,61871,3547,2342,437,449,2421,2102,79,65,2132,1817,1847,1596,111,93,37,34,36,13,19,8,82,73,1919,1665,160,133,79,68,54,33,28,16
239,"Morristown, TN MSA","124,054","119,182",143855,0,284.3,0.05,0,"5,833",15.5,1,552,0,142709,142830,143855,121,1025,342,1422,597,2180,-255,-758,0,16,383,1774,383,1790,0,-7,-7,"119,182","58,920",60262,54617,56081,2113,1961,515,419,471,611,141,121,1063,1069,55604,57086,2722,2544,892,792,627,772,187,171,52598,54814,49241,51381,1772,1628,165,175,396,559,110,96,914,975,50094,52302,2300,2164,480,508,530,703,150,144,6322,5448,5376,4700,341,333,350,244,75,52,31,25,149,94,5510,4784,422,380,412,284,97,69,37,27
240,"Mount Vernon-Anacortes, WA","131,417","129,523",130696,0,,0.09,0,"12,194",10.7,1,201,0,129523,129852,130696,329,844,341,1340,339,1555,2,-215,17,131,318,921,335,1052,0,-8,7,"129,524","64,474",65050,58187,58740,818,572,1711,1706,1421,1689,246,236,2091,2107,60087,60641,1379,1108,2707,2777,2089,2351,435,408,52276,53400,47638,48545,599,394,995,1071,1277,1577,171,141,1596,1672,49101,50062,1023,832,1690,1871,1840,2137,317,273,12198,11650,10549,10195,219,178,716,635,144,112,75,95,495,435,10986,10579,356,276,1017,906,249,214,118,135
241,"Muncie, IN MSA","112,321",111903,111871,0,,0.02,0,"2,010",21.4,1,,0,111903,111669,111871,-234,202,255,1003,433,1502,-178,-499,-2,35,-51,654,-53,689,0,-3,12,"111,909","54,148",57761,47818,51172,4065,4134,172,165,714,817,35,33,1344,1440,49076,52518,4883,5017,500,490,991,1113,97,115,52402,56032,46419,49727,3912,4010,120,116,697,801,28,32,1226,1346,47566,50987,4667,4849,396,401,961,1081,84,108,1746,1729,1399,1445,153,124,52,49,17,16,7,1,118,94,1510,1531,216,168,104,89,30,32,13,7
242,"Muskegon, MI","176,564","175,824",176511,0,,0.02,0,"3,377",14.1,1,786,0,175824,175817,176511,-7,694,464,1874,496,2180,-32,-306,0,24,29,956,29,980,0,-4,20,"174,736","87,002",87734,70504,70917,12251,12214,795,828,481,773,35,33,2936,2969,73284,73707,14050,14032,1769,1860,896,1171,105,101,81787,82690,66247,66841,11914,11915,617,628,446,723,12,16,2551,2567,68676,69258,13491,13527,1408,1458,825,1077,71,72,5215,5044,4257,4076,337,299,178,200,35,50,23,17,385,402,4608,4449,559,505,361,402,71,94,34,29
243,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","397,478","351,029",509794,1,,0.08,0,"27,462",13.4,1,1772,1,487722,491582,509794,3860,18212,982,3975,1628,7396,-646,-3421,0,170,4544,21751,4544,21921,0,-38,-288,"351,032","170,113",180919,141257,149327,21532,23575,1079,1024,2210,2970,272,246,3763,3777,144701,152736,23701,25784,2268,2240,3101,3875,412,377,157380,169470,130455,139602,20621,22793,692,676,2096,2873,153,147,3363,3379,133547,142660,22560,24781,1695,1729,2910,3695,268,249,12733,11449,10802,9725,911,782,387,348,114,97,119,99,400,398,11154,10076,1141,1003,573,511,191,180,144,128
244,"Napa, CA MSA","133,216","138,019",136207,0,,0.22,1,"30,499",7.51,0,753,0,138019,137608,136207,-411,-1401,289,1214,307,1399,-18,-185,-2,-26,-386,-1196,-388,-1222,1,-5,6,138013,69091,68922,58098,57460,1609,1473,887,891,5904,6454,275,301,2318,2343,60158,59501,2176,2066,1660,1687,6981,7557,541,554,43915,45342,34884,35835,1337,1194,254,266,5591,6143,166,193,1683,1711,36377,37321,1765,1636,715,738,6478,7051,354,385,25176,23580,23214,21625,272,279,633,625,313,311,109,108,635,632,23781,22180,411,430,945,949,503,506,187,169
245,"Naples-Marco Island, FL","404,310","375,752",385980,0,,0.25,1,"94,540",11,1,896,0,375752,377079,385980,1327,8901,777,3036,1034,4761,-257,-1725,79,708,1581,10016,1660,10724,0,-76,-98,"375,760","185,714",190046,165450,169070,14204,13957,935,834,2693,3426,189,191,2243,2568,167274,171166,15409,15331,1477,1452,3467,4306,505,566,133044,140479,115450,122178,12939,12688,381,355,2479,3254,61,68,1734,1936,116820,123703,13857,13690,755,775,3130,3973,337,382,52670,49567,50000,46892,1265,1269,554,479,214,172,128,123,509,632,50454,47463,1552,1641,722,677,337,333,168,184
246,"Nashville-Davidson--Murfreesboro--Franklin, TN","2,102,573","2,014,444",2012476,1,,0.09,0,"171,536",11,1,11078,1,1989519,1995343,2012476,5824,17133,5765,23478,4805,19182,960,4296,31,906,4756,12328,4787,13234,0,77,-397,"2,014,420","990,271",1024149,783000,797099,147377,164396,5519,5226,29949,31983,1093,1044,23333,24401,804679,819695,159918,177851,11940,12005,36769,38943,2050,2014,889265,931115,694589,716735,142506,159334,2650,2495,28882,30836,515,526,20123,21189,713371,736438,153395,171090,7676,7941,35000,37043,1264,1296,101006,93034,88411,80364,4871,5062,2869,2731,1067,1147,578,518,3210,3212,91308,83257,6523,6761,4264,4064,1769,1900,786,718
247,"New Haven, CT MSA","568,158","570,487",863700,1,,0.21,1,"117,578",11.2,1,2189,1,864835,863498,863700,-1337,202,2011,7980,2440,9516,-429,-1536,92,950,-984,619,-892,1569,0,-16,169,"570,455","275,935",294520,212880,224444,41510,46947,1766,1680,12188,13376,305,298,7286,7775,219266,231223,46354,52201,3487,3637,14095,15359,637,606,224028,240946,170813,181372,35421,40200,534,525,11885,13070,98,90,5277,5689,175424,186294,38748,43849,1706,1873,13495,14777,317,311,51907,53574,42067,43072,6089,6747,1232,1155,303,306,207,208,2009,2086,43842,44929,7606,8352,1781,1764,600,582,320,295
