                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
20,"Auburn-Opelika, AL","201,585","193,773",177218,0,,0.05,0,"10,000",19.4,1,,0,174241,174601,177218,360,2617,432,1813,368,1483,64,330,5,123,283,2154,288,2277,0,8,10,"193,774","95,107",98667,63673,63177,25363,29980,399,360,3918,3421,121,86,1633,1643,65134,64621,26174,30815,881,856,4437,3939,184,183,89951,94275,59418,59676,24952,29531,227,236,3850,3363,42,51,1462,1418,60730,60922,25694,30239,622,647,4334,3834,92,130,5156,4392,4255,3501,411,449,172,124,68,58,79,35,171,225,4404,3699,480,576,259,209,103,105,92,53
21,"Augusta-Richmond County, GA-SC MSA","629,429","611,000",615933,1,,0.04,0,"27,000",15.5,1,2199,1,611000,611720,615933,720,4213,1643,6953,1685,7081,-42,-128,12,106,752,4226,764,4332,0,-2,9,"610,978","297,702",313276,176078,176760,105758,119016,1540,1458,5866,7264,518,455,7942,8323,183088,183999,110409,124040,3607,3667,8351,9800,921,878,277652,295590,160657,163521,103115,116330,1035,999,5528,7035,397,373,6920,7332,166770,169915,107155,120764,2697,2843,7805,9331,727,706,20050,17686,15421,13239,2643,2686,505,459,338,229,121,82,1022,991,16318,14084,3254,3276,910,824,546,469,194,172
22,"Austin-Round Rock-Georgetown, TX","2,473,275","2,283,371",2352426,1,,0.15,1,"353,000",10.2,1,6361,1,2283371,2299125,2352426,15754,53301,6209,25626,3243,14481,2966,11145,171,2277,12372,40264,12543,42541,0,245,-385,2283379,1151606,1131773,932245,914938,93878,92821,13757,12800,78759,78600,1674,1544,31293,31070,961150,943480,106114,105349,22987,21945,91812,91365,3379,3316,780975,774284,592783,587425,84468,83351,3349,3093,76243,75993,950,923,23182,23499,614200,609001,93582,93001,8974,8918,86895,86494,2116,2186,370631,357489,339462,327513,9410,9470,10408,9707,2516,2607,724,621,8111,7571,346950,334479,12532,12348,14013,13027,4917,4871,1263,1130
23,"Bakersfield, CA","913,820","909,235",917673,1,,0.20,1,"179,000",20.4,1,5567,1,909235,909997,917673,762,7676,3014,12371,2014,7682,1000,4689,-46,-184,-253,2989,-299,2805,0,61,182,"909,229","465,910",443319,381529,362836,30343,26446,12557,12258,25093,25520,1262,1209,15126,15050,395171,376419,35365,31463,18825,18561,30634,30935,2230,2205,208263,201838,148926,145681,25576,21616,2605,2760,21850,22236,542,521,8764,9024,156759,153771,28806,24915,5207,5565,25710,26104,1154,1166,257647,241481,232603,217155,4767,4830,9952,9498,3243,3284,720,688,6362,6026,238412,222648,6559,6548,13618,12996,4924,4831,1076,1039
24,"Baltimore-Columbia-Towson, MD","2,834,316","2,844,510",2838327,1,,0.11,1,"301,000",9.79,0,19564,1,2844510,2841691,2838327,-2819,-3364,7799,30824,7783,30933,16,-109,94,1996,-2927,-5561,-2833,-3565,1,-2,310,"2,844,523","1,375,146",1469377,849584,868029,392997,460675,6931,6689,83727,89503,1530,1476,40377,43005,884898,904967,416455,486917,16259,17193,98417,104429,3140,3300,1263967,1364993,763237,788115,380069,447304,3372,3495,82204,88155,600,755,34485,37169,793236,819853,400050,469965,10394,11710,95678,101871,1974,2313,111179,104384,86347,79914,12928,13371,3559,3194,1523,1348,930,721,5892,5836,91662,85114,16405,16952,5865,5483,2739,2558,1166,987
25,"Bangor, ME MSA","155,312","152,199",152765,0,,0.03,0,"5,000",13.4,1,67,0,152199,152007,152765,-192,758,318,1164,526,2029,-208,-865,3,72,21,1549,24,1621,0,-8,2,"152,187","75,750",76437,71654,72496,890,615,973,952,861,970,24,26,1348,1378,72962,73844,1314,1040,1652,1672,1173,1299,78,76,74381,75105,70509,71352,830,571,926,913,838,955,21,22,1257,1292,71729,72618,1217,961,1555,1592,1133,1259,70,61,1369,1332,1145,1144,60,44,47,39,23,15,3,4,91,86,1233,1226,97,79,97,80,40,40,8,15
26,"Barnstable Town, MA MSA","231,735","228,996",232411,0,715.4,0.10,0,"22,000",6.73,0,691,0,228996,228969,232411,-27,3442,362,1419,767,3360,-405,-1941,3,152,421,5296,424,5448,0,-46,-65,"228,995","110,170",118825,100813,109904,4317,3896,923,831,1834,1927,76,70,2207,2197,102833,111886,5477,5086,1572,1495,2446,2521,178,186,105994,115131,97714,106937,3914,3569,771,681,1568,1894,53,51,1974,1999,99514,108740,4908,4608,1349,1293,2157,2463,144,157,4176,3694,3099,2967,403,327,152,150,266,33,23,19,233,198,3319,3146,569,478,223,202,289,58,34,29
27,"Baton Rouge, LA MSA","873,661","870,569",871905,1,264.7,0.04,0,"37,000",15.3,1,4721,1,870569,870178,871905,-391,1727,2432,10236,2203,8970,229,1266,29,616,-666,-181,-637,435,0,17,26,"870,580","427,299",443281,260284,261385,148998,163545,1700,1673,9682,9479,256,275,6379,6924,265833,267468,152604,167548,3794,3967,11412,11321,502,511,398036,417547,235767,240409,146456,160982,1084,1178,9319,9130,111,141,5299,5707,240378,245411,149464,164301,2718,2911,10794,10696,303,326,29263,25734,24517,20976,2542,2563,616,495,363,349,145,134,1080,1217,25455,22057,3140,3247,1076,1056,618,625,199,185
28,"Battle Creek, MI MSA","133,366","134,310",133819,0,,0.04,0,"6,000",16.7,1,836,0,134310,134113,133819,-197,-294,326,1419,434,1769,-108,-350,0,43,-85,-11,-85,32,0,-4,24,134297,66195,68102,53555,55445,7560,7499,611,526,1858,2006,30,35,2581,2591,55995,57879,9319,9282,1290,1210,2234,2368,102,126,62450,64402,50623,52557,7253,7194,417,361,1820,1974,21,24,2316,2292,52814,54715,8847,8801,997,925,2168,2297,83,93,3745,3700,2932,2888,307,305,194,165,38,32,9,11,265,299,3181,3164,472,481,293,285,66,71,19,33
29,"Bay City, MI MSA","102,500",103856,102985,0,,0.04,0,"4,000",16.1,1,396,0,103856,103594,102985,-262,-609,230,875,418,1521,-188,-646,0,-1,-66,20,-66,19,0,-8,18,"103,855","51,386",52469,48521,49635,1107,913,345,349,250,362,8,10,1155,1200,49638,50790,1752,1590,756,774,393,507,27,33,48412,49512,45943,47082,1003,790,255,271,236,354,6,9,969,1006,46878,48057,1549,1365,581,600,366,479,22,30,2974,2957,2578,2553,104,123,90,78,14,8,2,1,186,194,2760,2733,203,225,175,174,27,28,5,3
